Date,Open,High,Low,Close,Adj Close,Volume,Williams
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099192,469033600,
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094017,175884800,
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087117,105728000,
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089273,86441600,
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.091861,73449600,
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097467,48630400,
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102211,37363200,
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.106524,46950400,
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.11213,48003200,
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.122481,55574400,
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124206,93161600,
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121187,68880000,
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117737,35750400,
1981-01-04,0.108817,0.108817,0.108259,0.108259,0.083667,34070400,-100.0
1981-01-05,0.126674,0.12779,0.126674,0.126674,0.097898,16553600,-65.26323731914812
1981-01-06,0.147879,0.148438,0.147879,0.147879,0.114286,51251200,-25.26361458510174
1981-01-07,0.115513,0.115513,0.114955,0.114955,0.088841,170464000,-87.36913587233319
1981-01-09,0.095424,0.095982,0.095424,0.095424,0.073747,37027200,-100.0
1981-01-10,0.06808,0.068638,0.06808,0.06808,0.052615,61129600,-100.00000000000001
1981-01-12,0.083147,0.083705,0.083147,0.083147,0.064259,23385600,-83.83230320199159
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.10523,23049600,-26.945445961026692
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105662,14291200,-26.346682118636785
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.107818,14067200,-23.352862906687275
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.106955,13395200,-24.55039059146709
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113424,41574400,-11.875321998969605
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.109974,30083200,-12.500294734856524
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.11213,15904000,-4.16759999004454
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113424,35548800,-2.084422210607509
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.112993,11222400,-2.7788148037531863
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111268,24640000,-4.894798180428351
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110405,23699200,-6.293311946264988
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.106955,28156800,-11.887367009611676
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103074,43904000,-22.412408082555796
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097467,46188800,-100.0
1981-02-01,0.154018,0.155134,0.154018,0.154018,0.119031,21660800,-3.8458887587015176
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.091861,23766400,-100.0
1981-02-03,0.118862,0.11942,0.118862,0.118862,0.091861,11760000,-100.0
1981-02-04,0.117746,0.118304,0.117746,0.117746,0.090998,31404800,-100.0
1981-02-06,0.141183,0.141183,0.140625,0.140625,0.10868,40432000,-38.806568952605105
1981-02-07,0.114955,0.115513,0.114955,0.114955,0.088841,30284800,-100.0
1981-02-09,0.097098,0.097656,0.097098,0.097098,0.075041,19376000,-100.0
1981-02-10,0.073661,0.074219,0.073661,0.073661,0.056928,45046400,-100.0
1981-02-11,0.089286,0.089844,0.089286,0.089286,0.069004,36915200,-80.82186736710321
1981-02-12,0.083705,0.084263,0.083705,0.083705,0.06469,37564800,-87.67198949345182
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.087979,11155200,-50.68550317283027
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090135,12275200,-47.26105580990021
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094017,19241600,-41.09582315613762
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.08841,22310400,-50.00061370024425
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.083667,24371200,-48.76040401646872
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.08496,14112000,-46.28121204940612
