Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,VWAP
2/1/2002,-0.749353391473491,-0.7491940257665399,-0.7490522874524406,-0.7491649340602224,-0.7255380495567676,0.01642270334468696,-0.7482175212971016,-0.7488094055642586,-0.7481233889014309,0.9491768387190445,-0.15786253967097208,-0.17224663181298655,-0.7482175212971016,-0.7491486546098725,-0.746401127664297,-0.749158161146221
2/4/2002,-0.749359956150844,-0.7490120998431836,-0.7490987237295974,-0.7488565384668358,-0.7252763158310895,0.34003325084266356,-0.7481901548699748,-0.7487064632325442,-0.7480570123242274,1.1067269238384594,-0.15630014358330496,-0.17127844129480554,-0.7481901548699748,-0.7490393262286501,-0.7464657535142681,-0.7490093774569688
2/5/2002,-0.7491071149362662,-0.7488626476971463,-0.7488068438659,-0.7488237441064047,-0.7252484867086141,0.1692229713372996,-0.7481481169433406,-0.7486142971407759,-0.7479931058124208,1.0264728950919997,-0.15509048700092892,-0.17024636624490833,-0.7481481169433406,-0.74891218532033,-0.7465192473333642,-0.7488518453709713
2/6/2002,-0.7489396513041819,-0.7488626476971463,-0.749115310767798,-0.7490796319787203,-0.7254656496358867,0.536186085071972,-0.7481141560963182,-0.7485758006044514,-0.747953024354854,1.1015494126810483,-0.15515081427083463,-0.16943354984407202,-0.7481141560963182,-0.7488445201389688,-0.7465231389005129,-0.7490389124234277
2/7/2002,-0.7492515930033891,-0.749086816819906,-0.7491385289063764,-0.7492010170427919,-0.7255686781674074,-0.11522712128177492,-0.7480704684107098,-0.7485619594847124,-0.7479249681728146,0.4845451999677438,-0.15574893084642658,-0.1689106289453445,-0.7480704684107098,-0.7488042999462745,-0.7464756056266229,-0.7491625353354041
2/8/2002,-0.749333697441432,-0.7492979782391458,-0.7493740351296054,-0.7492896077464324,-0.7256438591587675,-0.09566880383199877,-0.7480243083946406,-0.7485639196086129,-0.7479055997987042,0.507177224141248,-0.15665026594163403,-0.16868417530890778,-0.7480243083946406,-0.7487922251557659,-0.7463912484517016,-0.7493408601296834
2/11/2002,-0.7494880317188102,-0.74918101806302,-0.7492512947618243,-0.7489779419030981,-0.7253793627802957,0.017196856313199383,-0.7479595200424866,-0.7485174800349929,-0.7478644133956381,0.9619971270103208,-0.15642035958684228,-0.16845406801344864,-0.7479595200424866,-0.7487568805985557,-0.7462934899923696,-0.7491570645296413
2/12/2002,-0.7492483198589385,-0.7491680285520924,-0.7490158071131061,-0.749066514234548,-0.7254545253539705,-0.4374938560796922,-0.7479008312748558,-0.7484918540292159,-0.7478328860133983,0.47256331343084207,-0.1566652449649571,-0.16832211608873038,-0.7479008312748558,-0.7487494679775252,-0.7461773281982054,-0.7491045558804982
2/13/2002,-0.749225334293977,-0.7491030628048618,-0.7489494589603043,-0.7489680944088735,-0.7253710011511734,-0.2064164983086252,-0.7478462636734599,-0.7484549817577314,-0.7477963511251874,0.508900306162579,-0.15664464626734798,-0.16821216849397078,-0.7478462636734599,-0.7487232978514069,-0.7460909539547195,-0.7490279769504699
2/14/2002,-0.7491202626794243,-0.7491063010862975,-0.7490390252516845,-0.7491025972171174,-0.7254851539646103,-0.3438797735288219,-0.7477832875635366,-0.7484445394048905,-0.7477725574732207,0.26835577117639536,-0.15720685915119442,-0.16824389982779472,-0.7477832875635366,-0.7487863028178513,-0.7458866878095073,-0.7491034592822974
